,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
0,Georges Méliès,Bleuette Bernon,Georges Méliès,Jehanne d'Alcy,Drama History,joan of arc,Bleuette Bernon Georges Méliès Jehanne d'Alcy Georges Méliès Drama History
1,Georges Méliès,Georges Méliès,Unkown,Unkown,Comedy Fantasy Music,the one-man band,Georges Méliès Unkown Unkown Georges Méliès Comedy Fantasy Music
2,J. Stuart Blackton,J. Stuart Blackton,Unkown,Unkown,Animation Comedy Fantasy,the enchanted drawing,J. Stuart Blackton Unkown Unkown J. Stuart Blackton Animation Comedy Fantasy
3,George Albert Smith,Harold Smith,Unkown,Unkown,Drama,grandma's reading glass,Harold Smith Unkown Unkown George Albert Smith Drama
4,Gabriel Veyre,Unkown,Unkown,Unkown,Documentary,le village de namo - panorama pris d'une chaise à porteurs,Unkown Unkown Unkown Gabriel Veyre Documentary
5,George Albert Smith,Laura Bayley,Tom Green,Unkown,Romance Comedy,let me dream again,Laura Bayley Tom Green Unkown George Albert Smith Romance Comedy
6,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy,the christmas dream,Georges Méliès Unkown Unkown Georges Méliès Fantasy
7,James H. White,Unkown,Unkown,Unkown,,naval apprentices at sail drill on historic ship 'constellation',Unkown Unkown Unkown James H. White 
8,Georges Méliès,Unkown,Unkown,Unkown,Comedy,how he missed his train,Unkown Unkown Unkown Georges Méliès Comedy
9,Cecil M. Hepworth,Cecil M. Hepworth,Henry Lawley,Unkown,Comedy,explosion of a motor car,Cecil M. Hepworth Henry Lawley Unkown Cecil M. Hepworth Comedy
10,Arthur Marvin,Unkown,Unkown,Unkown,Crime Fantasy Mystery,sherlock holmes baffled,Unkown Unkown Unkown Arthur Marvin Crime Fantasy Mystery
11,Georges Méliès,Georges Méliès,Unkown,Unkown,Comedy Fantasy,a fantastical meal,Georges Méliès Unkown Unkown Georges Méliès Comedy Fantasy
12,Georges Méliès,Jehanne d'Alcy,Georges Méliès,Unkown,Comedy Fantasy,the fat and lean wrestling match,Jehanne d'Alcy Georges Méliès Unkown Georges Méliès Comedy Fantasy
13,George Albert Smith,Unkown,Unkown,Unkown,Comedy,as seen through a telescope,Unkown Unkown Unkown George Albert Smith Comedy
14,James H. White,Unkown,Unkown,Unkown,Documentary,panorama of eiffel tower,Unkown Unkown Unkown James H. White Documentary
15,Edwin S. Porter,Unkown,Unkown,Unkown,Fantasy Horror,faust and marguerite,Unkown Unkown Unkown Edwin S. Porter Fantasy Horror
16,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy,the magic book,Georges Méliès Unkown Unkown Georges Méliès Fantasy
17,Georges Méliès,Unkown,Unkown,Unkown,Comedy,addition and subtraction,Unkown Unkown Unkown Georges Méliès Comedy
18,Alice Guy-Blaché,Miss Lally,Miss Julyett,Unkown,Music,at the floral ball,Miss Lally Miss Julyett Unkown Alice Guy-Blaché Music
19,Alice Guy-Blaché,Henri Vallouy,Unkown,Unkown,Comedy,automated hat-maker and sausage-grinder,Henri Vallouy Unkown Unkown Alice Guy-Blaché Comedy
20,Georges Méliès,Georges Méliès,Unkown,Unkown,Comedy Fantasy,the man with the rubber head,Georges Méliès Unkown Unkown Georges Méliès Comedy Fantasy
21,James Williamson,Sam Dalton,Unkown,Unkown,Comedy,the big swallow,Sam Dalton Unkown Unkown James Williamson Comedy
22,Georges Méliès,Georges Méliès,Jehanne d'Alcy,Bleuette Bernon,Drama Horror Fantasy,bluebeard,Georges Méliès Jehanne d'Alcy Bleuette Bernon Georges Méliès Drama Horror Fantasy
23,Edwin S. Porter,Unkown,Unkown,Unkown,Drama History,execution of czolgosz with panorama of auburn prison,Unkown Unkown Unkown Edwin S. Porter Drama History
24,Ferdinand Zecca,Jean Liézer,Bretteau,Ferdinand Zecca,Drama Crime,history of a crime,Jean Liézer Bretteau Ferdinand Zecca Ferdinand Zecca Drama Crime
25,Robert W. Paul,Unkown,Unkown,Unkown,Comedy,the countryman and the cinematograph,Unkown Unkown Unkown Robert W. Paul Comedy
26,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy Comedy,the prince of magicians,Georges Méliès Unkown Unkown Georges Méliès Fantasy Comedy
27,James Williamson,Unkown,Unkown,Unkown,Action Drama,fire!,Unkown Unkown Unkown James Williamson Action Drama
28,unknown,Buffalo Bill Cody,Unkown,Unkown,Documentary,buffalo bill's wild west parade,Buffalo Bill Cody Unkown Unkown unknown Documentary
29,Edwin S. Porter,A.C. Abadie,Florence Georgie,Unkown,Documentary Comedy,"what happened on twenty-third street, new york city",A.C. Abadie Florence Georgie Unkown Edwin S. Porter Documentary Comedy
30,Edwin S. Porter,Unkown,Unkown,Unkown,,pan-american exposition by night,Unkown Unkown Unkown Edwin S. Porter 
31,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy Comedy,the dwarf and the giant,Georges Méliès Unkown Unkown Georges Méliès Fantasy Comedy
32,Walter R. Booth,Daniel Smith,Unkown,Unkown,Drama Fantasy,scrooge; or marley's ghost,Daniel Smith Unkown Unkown Walter R. Booth Drama Fantasy
33,Georges Méliès,André Deed,Unkown,Unkown,Comedy Fantasy,an extraordinary dislocation,André Deed Unkown Unkown Georges Méliès Comedy Fantasy
34,Walter R. Booth,Unkown,Unkown,Unkown,Drama Fantasy,the waif and the wizard,Unkown Unkown Unkown Walter R. Booth Drama Fantasy
35,unknown,Unkown,Unkown,Unkown,Documentary,salford v batley,Unkown Unkown Unkown unknown Documentary
36,unknown,Unkown,Unkown,Unkown,,lord roberts' visit to manchester,Unkown Unkown Unkown unknown 
37,Edwin S. Porter,Unkown,Unkown,Unkown,,the tramp's unexpected skate,Unkown Unkown Unkown Edwin S. Porter 
38,unknown,Unkown,Unkown,Unkown,,morecambe church lads' brigade at drill,Unkown Unkown Unkown unknown 
39,Ferdinand Zecca,Unkown,Unkown,Unkown,Romance Comedy,dream and reality,Unkown Unkown Unkown Ferdinand Zecca Romance Comedy
40,Georges Méliès,Georges Méliès,Bleuette Bernon,Victor André,Adventure Science Fiction,a trip to the moon,Georges Méliès Bleuette Bernon Victor André Georges Méliès Adventure Science Fiction
41,Georges Méliès,Unkown,Unkown,Unkown,,"the terrible eruption of mount pelee and destruction of st. pierre, martinique",Unkown Unkown Unkown Georges Méliès 
42,Edwin S. Porter,Charles Manley,Unkown,Unkown,Comedy,uncle josh at the moving picture show,Charles Manley Unkown Unkown Edwin S. Porter Comedy
43,Georges Méliès,Georges Méliès,Unkown,Unkown,Adventure,robinson crusoe,Georges Méliès Unkown Unkown Georges Méliès Adventure
44,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy,gulliver's travels among the lilliputians and the giants,Georges Méliès Unkown Unkown Georges Méliès Fantasy
45,Jan Kříženecký,Alois Charvát,Unkown,Unkown,Comedy,to nejlepší číslo,Alois Charvát Unkown Unkown Jan Kříženecký Comedy
46,Ferdinand Zecca,Unkown,Unkown,Unkown,Fantasy,the fairy of the black rocks,Unkown Unkown Unkown Ferdinand Zecca Fantasy
47,unknown,Unkown,Unkown,Unkown,,arrival of vips for official opening of cork exhibition,Unkown Unkown Unkown unknown 
48,unknown,Unkown,Unkown,Unkown,,crews practicing on river lee at cork regatta,Unkown Unkown Unkown unknown 
49,Peter Elfelt,Unkown,Unkown,Unkown,,undressing scene 'summer joys',Unkown Unkown Unkown Peter Elfelt 
50,Edwin S. Porter,Thomas White,James H. White,Unkown,Adventure Family Fantasy,jack and the beanstalk,Thomas White James H. White Unkown Edwin S. Porter Adventure Family Fantasy
51,Georges Méliès,Unkown,Unkown,Unkown,Fantasy Comedy,the microscopic dancer,Unkown Unkown Unkown Georges Méliès Fantasy Comedy
52,Kazimierz Prószyński,Unkown,Unkown,Unkown,Documentary,street traffic in front of mickiewicz’s monument,Unkown Unkown Unkown Kazimierz Prószyński Documentary
53,unknown,Unkown,Unkown,Unkown,Comedy,cambrioleurs modernes,Unkown Unkown Unkown unknown Comedy
54,Georges Méliès,Georges Méliès,Unkown,Unkown,,an impossible balancing feat,Georges Méliès Unkown Unkown Georges Méliès 
55,Georges Méliès,Unkown,Unkown,Unkown,Comedy Fantasy,the magician and the imp,Unkown Unkown Unkown Georges Méliès Comedy Fantasy
56,Alice Guy-Blaché,Germaine Serand,Yvonne Serand,Unkown,Fantasy,midwife to the upper class,Germaine Serand Yvonne Serand Unkown Alice Guy-Blaché Fantasy
57,Alice Guy-Blaché,Unkown,Unkown,Unkown,Comedy,an untimely intrusion,Unkown Unkown Unkown Alice Guy-Blaché Comedy
58,Alice Guy-Blaché,Unkown,Unkown,Unkown,Comedy,miss dundee and her performing dogs,Unkown Unkown Unkown Alice Guy-Blaché Comedy
59,Ferdinand Zecca,Unkown,Unkown,Unkown,Drama,alcohol and its victims,Unkown Unkown Unkown Ferdinand Zecca Drama
60,Ferdinand Zecca,Madame Moreau,Monsieur Moreau,Unkown,Drama History,the life and passion of jesus christ,Madame Moreau Monsieur Moreau Unkown Ferdinand Zecca Drama History
61,Edwin S. Porter,Gilbert M. Anderson,John Manus Dougherty Sr.,Frank Hanaway,Crime Action Western,the great train robbery,Gilbert M. Anderson John Manus Dougherty Sr. Frank Hanaway Edwin S. Porter Crime Action Western
62,Cecil M. Hepworth,May Clark,Cecil M. Hepworth,Mrs. Hepworth,Fantasy Family,alice in wonderland,May Clark Cecil M. Hepworth Mrs. Hepworth Cecil M. Hepworth Fantasy Family
63,Edwin S. Porter,Vivian Vaughan,James H. White,Arthur White,Action,life of an american fireman,Vivian Vaughan James H. White Arthur White Edwin S. Porter Action
64,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy Horror,the infernal cauldron,Georges Méliès Unkown Unkown Georges Méliès Fantasy Horror
65,Georges Méliès,Georges Méliès,Marguerite Thévenard,Bleuette Bernon,Adventure Fantasy,the kingdom of the fairies,Georges Méliès Marguerite Thévenard Bleuette Bernon Georges Méliès Adventure Fantasy
66,Georges Méliès,Georges Méliès,Unkown,Unkown,Comedy Music,the melomaniac,Georges Méliès Unkown Unkown Georges Méliès Comedy Music
67,Edwin S. Porter,Carl Goliath,Topsy,Unkown,Documentary,electrocuting an elephant,Carl Goliath Topsy Unkown Edwin S. Porter Documentary
68,Georges Méliès,Unkown,Unkown,Unkown,Fantasy Comedy,the inn where no man rests,Unkown Unkown Unkown Georges Méliès Fantasy Comedy
69,Edwin S. Porter,Unkown,Unkown,Unkown,,uncle tom's cabin,Unkown Unkown Unkown Edwin S. Porter 
70,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy Comedy,the infernal cakewalk,Georges Méliès Unkown Unkown Georges Méliès Fantasy Comedy
71,George Albert Smith,Unkown,Unkown,Unkown,Drama,the sick kitten,Unkown Unkown Unkown George Albert Smith Drama
72,Georges Méliès,Unkown,Unkown,Unkown,,ten ladies in an umbrella,Unkown Unkown Unkown Georges Méliès 
73,Edwin S. Porter,Edward Boulden,Unkown,Unkown,Comedy Romance,the gay shoe clerk,Edward Boulden Unkown Unkown Edwin S. Porter Comedy Romance
74,Georges Méliès,Georges Méliès,Jehanne d'Alcy,Unkown,,"alcofribas, the master magician",Georges Méliès Jehanne d'Alcy Unkown Georges Méliès 
75,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy Horror,the monster,Georges Méliès Unkown Unkown Georges Méliès Fantasy Horror
76,George Albert Smith,Laura Bayley,Unkown,Unkown,Comedy,mary jane's mishap,Laura Bayley Unkown Unkown George Albert Smith Comedy
77,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy,the prolific magical egg,Georges Méliès Unkown Unkown Georges Méliès Fantasy
78,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy,the magic lantern,Georges Méliès Unkown Unkown Georges Méliès Fantasy
79,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy,the mysterious box,Georges Méliès Unkown Unkown Georges Méliès Fantasy
