,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
0,Georges Méliès,Georges Méliès,Unkown,Unkown,Comedy Fantasy Music,the one-man band,Georges Méliès Unkown Unkown Georges Méliès Comedy Fantasy Music
1,J. Stuart Blackton,J. Stuart Blackton,Unkown,Unkown,Animation Comedy Fantasy,the enchanted drawing,J. Stuart Blackton Unkown Unkown J. Stuart Blackton Animation Comedy Fantasy
2,George Albert Smith,Laura Bayley,Tom Green,Unkown,Romance Comedy,let me dream again,Laura Bayley Tom Green Unkown George Albert Smith Romance Comedy
3,George Albert Smith,Harold Smith,Unkown,Unkown,Drama,grandma's reading glass,Harold Smith Unkown Unkown George Albert Smith Drama
4,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy,the christmas dream,Georges Méliès Unkown Unkown Georges Méliès Fantasy
5,Georges Méliès,Bleuette Bernon,Georges Méliès,Jehanne d'Alcy,Drama History,joan of arc,Bleuette Bernon Georges Méliès Jehanne d'Alcy Georges Méliès Drama History
6,Georges Méliès,Georges Méliès,Unkown,Unkown,Comedy,going to bed under difficulties,Georges Méliès Unkown Unkown Georges Méliès Comedy
7,Cecil M. Hepworth,Cecil M. Hepworth,Henry Lawley,Unkown,Comedy,explosion of a motor car,Cecil M. Hepworth Henry Lawley Unkown Cecil M. Hepworth Comedy
8,Alice Guy-Blaché,Miss Lally,Miss Julyett,Unkown,Music,at the floral ball,Miss Lally Miss Julyett Unkown Alice Guy-Blaché Music
9,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy Comedy,up-to-date spiritualism,Georges Méliès Unkown Unkown Georges Méliès Fantasy Comedy
10,Georges Méliès,Jehanne d'Alcy,Georges Méliès,Unkown,Comedy Fantasy,the fat and lean wrestling match,Jehanne d'Alcy Georges Méliès Unkown Georges Méliès Comedy Fantasy
11,Georges Méliès,Georges Méliès,Unkown,Unkown,,the triple conjurer and the living head,Georges Méliès Unkown Unkown Georges Méliès 
12,Cecil M. Hepworth,May Clark,Cecil M. Hepworth,Unkown,Horror,how it feels to be run over,May Clark Cecil M. Hepworth Unkown Cecil M. Hepworth Horror
13,Gabriel Veyre,Unkown,Unkown,Unkown,Documentary,le village de namo - panorama pris d'une chaise à porteurs,Unkown Unkown Unkown Gabriel Veyre Documentary
