,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
0,Georges Méliès,Georges Méliès,Unkown,Unkown,Comedy Fantasy Music,the one-man band,Georges Méliès Unkown Unkown Georges Méliès Comedy Fantasy Music
1,J. Stuart Blackton,J. Stuart Blackton,Unkown,Unkown,Animation Comedy Fantasy,the enchanted drawing,J. Stuart Blackton Unkown Unkown J. Stuart Blackton Animation Comedy Fantasy
2,George Albert Smith,Harold Smith,Unkown,Unkown,Drama,grandma's reading glass,Harold Smith Unkown Unkown George Albert Smith Drama
3,Georges Méliès,Georges Méliès,Unkown,Unkown,,the triple conjurer and the living head,Georges Méliès Unkown Unkown Georges Méliès 
4,James Williamson,Mr. James,Mr. Lepard,Florence Williamson,Action Drama History War,attack on a china mission,Mr. James Mr. Lepard Florence Williamson James Williamson Action Drama History War
5,Georges Méliès,Bleuette Bernon,Georges Méliès,Jehanne d'Alcy,Drama History,joan of arc,Bleuette Bernon Georges Méliès Jehanne d'Alcy Georges Méliès Drama History
6,Arthur Marvin,Unkown,Unkown,Unkown,Crime Fantasy Mystery,sherlock holmes baffled,Unkown Unkown Unkown Arthur Marvin Crime Fantasy Mystery
7,Alice Guy-Blaché,Henri Vallouy,Unkown,Unkown,Comedy,automated hat-maker and sausage-grinder,Henri Vallouy Unkown Unkown Alice Guy-Blaché Comedy
8,Cecil M. Hepworth,Cecil M. Hepworth,Henry Lawley,Unkown,Comedy,explosion of a motor car,Cecil M. Hepworth Henry Lawley Unkown Cecil M. Hepworth Comedy
9,Georges Méliès,Georges Méliès,Unkown,Unkown,Comedy,going to bed under difficulties,Georges Méliès Unkown Unkown Georges Méliès Comedy
10,George Albert Smith,Laura Bayley,Tom Green,Unkown,Romance Comedy,let me dream again,Laura Bayley Tom Green Unkown George Albert Smith Romance Comedy
11,Georges Méliès,Georges Méliès,Unkown,Unkown,Fantasy,the magic book,Georges Méliès Unkown Unkown Georges Méliès Fantasy
12,Georges Méliès,Jehanne d'Alcy,Georges Méliès,Unkown,Comedy Fantasy,the fat and lean wrestling match,Jehanne d'Alcy Georges Méliès Unkown Georges Méliès Comedy Fantasy
13,Georges Méliès,Unkown,Unkown,Unkown,Comedy,how he missed his train,Unkown Unkown Unkown Georges Méliès Comedy
