id,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,release_date,vote_average,overview,poster_path,budget,runtime,revenue,production_companies
106030,['Georges Méliès'],Bleuette Bernon,Georges Méliès,Jehanne d'Alcy,"['Drama', 'History']",Joan of Arc,1900-08-06,6.9,A divinely inspired peasant woman becomes an army captain for France and then is martyred after she is captured.,/xiPqvgnBZlv9CzXUc2zeXnbihr.jpg,0,11,0,['Star-Film']
49280,['Georges Méliès'],Georges Méliès,Unkown,Unkown,"['Comedy', 'Fantasy', 'Music']",The One-Man Band,1900-01-01,6.7,"A band-leader has arranged seven chairs for the members of his band. When he sits down in the first chair, a cymbal player appears in the same chair, then rises and sits in the next chair. As the cymbal player sits down, a drummer appears in the second chair, and then likewise moves on to the third chair. In this way, an entire band is soon formed, and is then ready to perform.",/tZbhkqZK9xKKlNDzJ1xFmFgUI2C.jpg,0,2,0,['Star Film Company']
144432,['J. Stuart Blackton'],J. Stuart Blackton,Unkown,Unkown,"['Animation', 'Comedy', 'Fantasy']",The Enchanted Drawing,1900-11-16,6.6,A cartoonist defies reality when he draws objects that become three-dimensional after he lifts them off his sketch pad.,/4VM68zns50r5jpmv2PiX6bsJlBU.jpg,0,2,0,['Edison Studios']
179236,['George Albert Smith'],Harold Smith,Unkown,Unkown,['Drama'],Grandma's Reading Glass,1900-11-01,6.4,"A child borrows his grandmother's magnifying glass to look at a newspaper ad for Bovril, at a watch, and then at a bird. The child shows grandma what he is doing. The child looks next at grandma's eye, then at a kitten.",/iKHANQ7nwKwdCqxN0bSzvWludPo.jpg,0,1,0,['George Albert Smith Films']
195647,['Gabriel Veyre'],Unkown,Unkown,Unkown,['Documentary'],Le village de Namo - Panorama pris d'une chaise à porteurs,1900-01-25,6.1,"The film is a panorama shot-scene lasting just under a minute. The panorama film, as coined by Lumière, is a moving-camera shot--usually accomplished by placing the camera on a moving transport, such as a boat or train.",/vRduQJsUlPBuQAgndDz3cmj7wyJ.jpg,0,1,0,['Lumière']
179235,['George Albert Smith'],Laura Bayley,Tom Green,Unkown,"['Romance', 'Comedy']",Let Me Dream Again,1900-08-01,5.8,"Possibly the first film to utilize the technique of focus pulling. A man kisses a beautiful and lively woman, then the image blurs and dissolves into a clear image of the man waking up to his nagging wife.",,0,1,0,['George Albert Smith Films']
106806,['Georges Méliès'],Georges Méliès,Unkown,Unkown,['Fantasy'],The Christmas Dream,1900-08-08,5.3,"The entire story of Christmastide is here depicted. The scene opens in a large boudoir of an apparently wealthy man's home. His children, assisted by their governess, are about to retire. Before lying down they hang up their stockings on the edge of the bed. The picture changes and night appears. We see the housetops of the town and angels are flying about depositing packages in each of the chimneys. (Edison Catalog)",/9lyYATrYIo8RfbcadyvpnRt4J1A.jpg,0,4,0,['Star-Film']
195552,['James H. White'],Unkown,Unkown,Unkown,[],Naval Apprentices at Sail Drill on Historic Ship 'Constellation',1900-05-21,4.0,"This picture opens with the young cadets climbing the rigging and going through the sail drill on board the famous historic ship ""Constellation."" Loosing sail to buntline, making sail, shortening sail and furling; also loose sail to bowline. This picture is absolutely perfect photographically; also very thrilling, and makes a most interesting subject.",,0,2,0,[]
106815,['Georges Méliès'],Unkown,Unkown,Unkown,['Comedy'],How He Missed His Train,1900-01-01,5.5,A man misses his train due to his clothes turning into other types of clothes.,,0,1,0,"['Star-Film', 'Georges Méliès']"
105303,['Cecil M. Hepworth'],Cecil M. Hepworth,Henry Lawley,Unkown,['Comedy'],Explosion of a Motor Car,1900-07-01,6.1,An early trick film where a car explodes and body parts fall from the sky. A policeman witnesses and attempts to piece the remains back together.,/t9GjMnb6q6v6KxJbrsOzS4vO6Fa.jpg,0,1,0,['Hepworth']
195620,['Arthur Marvin'],Unkown,Unkown,Unkown,"['Crime', 'Fantasy', 'Mystery']",Sherlock Holmes Baffled,1900-05-21,5.1,"Sherlock Holmes enters his drawing room to find it being burgled, but on confronting the villain is surprised when the latter disappears.",/sOZnifLOZOhOcVgqGSFp0cKYYXW.jpg,0,1,0,[]
106808,['Georges Méliès'],Georges Méliès,Unkown,Unkown,"['Comedy', 'Fantasy']",A Fantastical Meal,1900-01-01,5.9,A family sits down to enjoy a meal that ends up being fraught with complications.,,0,1,0,['Star-Film']
106807,['Georges Méliès'],Jehanne d'Alcy,Georges Méliès,Unkown,"['Comedy', 'Fantasy']",The Fat and Lean Wrestling Match,1900-01-01,6.6,A series of fantastical wrestling matches.,/fbgHodOVPfbsUXUN8TJCsH3qiB0.jpg,0,2,0,['Star-Film']
154171,['George Albert Smith'],Unkown,Unkown,Unkown,['Comedy'],As Seen Through a Telescope,1900-09-01,5.4,An elderly gentleman in a silk hat sits on a stool in front of a store on the main street of town. He has a telescope that focuses on the ankle of a young woman who is a short distance away. Her husband catches the gent looking. What will the two men do now?,/uk080khhWpTJLvq759J2vlo5bXh.jpg,0,1,0,['George Albert Smith Films']
195557,['James H. White'],Unkown,Unkown,Unkown,['Documentary'],Panorama of Eiffel Tower,1900-01-01,5.4,"“Showing the entire height of this wonderful structure from the base of the dome and return, with the great Paris Exposition in the background, looking down Champs de Mars. A most realistic picture.” According to Edison film historian Charles Musser, this film features the first camera tilt among the company's surviving oeuvre.",,0,1,0,['Edison Studios']
195606,['Edwin S. Porter'],Unkown,Unkown,Unkown,"['Fantasy', 'Horror']",Faust and Marguerite,1900-05-21,3.7,"Marguerite is seated in front of the fireplace, Faust standing by her side. Mephistopheles enters and offers his sword to Faust, commanding him to behead the fair Marguerite. Faust refuses, whereupon Mephistopheles draws the sword across the throat of the lady and she suddenly disappears and Faust is seated in her place.",,0,1,0,['Edison Studios']
106038,['Georges Méliès'],Georges Méliès,Unkown,Unkown,['Fantasy'],The Magic Book,1900-01-01,6.1,Characters from a large magic book come to life.,/1jbZujeJNBr9SkE16ERhi0nljjV.jpg,0,2,0,['Star Film Company']
106024,['Georges Méliès'],Unkown,Unkown,Unkown,['Comedy'],Addition and Subtraction,1900-01-01,5.7,"A magician performs tricks involving three women, who are sometimes merged together into one corpulent female.",,0,1,0,['Star-Film']
119976,['Alice Guy-Blaché'],Miss Lally,Miss Julyett,Unkown,['Music'],At the Floral Ball,1900-01-01,4.7,"A turn-of-the-last-century hand-tinted short, which features two women, Miss Lally and Miss Julyett, dancing at a ball. By the legendary French filmmaker Alice Guy.",/wjTb31aDvldzKMjKZOwXgQEMt8q.jpg,0,2,0,['Gaumont']
119968,['Alice Guy-Blaché'],Henri Vallouy,Unkown,Unkown,['Comedy'],Automated Hat-Maker and Sausage-Grinder,1900-01-01,5.8,A machine churns out sausages on one side and spits out hats on the other.,,0,1,0,['Gaumont']
49279,['Georges Méliès'],Georges Méliès,Unkown,Unkown,"['Comedy', 'Fantasy']",The Man with the Rubber Head,1901-01-01,7.2,A chemist carries out a bizarre experiment with his own head.,/yiqdrTcFSHzGMkKGk6huo6w0gin.jpg,0,3,0,['Star Film Company']
96035,['James Williamson'],Sam Dalton,Unkown,Unkown,['Comedy'],The Big Swallow,1901-10-15,6.4,"A man, objecting to being filmed, comes closer and closer to the camera lens until his mouth is all we see. Then he opens wide and swallows camera and cinematographer. He steps back, chews, and grins.",/xBcai37vavGLEYQ8B1TSvO6pl9m.jpg,0,1,0,['Williamson Kinematograph Company']
49275,['Georges Méliès'],Georges Méliès,Jehanne d'Alcy,Bleuette Bernon,"['Drama', 'Horror', 'Fantasy']",Bluebeard,1901-01-01,6.2,"A young woman becomes the eighth wife of the wealthy Bluebeard, whose first seven wives have died under mysterious circumstances.",/7ai7fTnLND23IvprYEjhN4FUmRz.jpg,0,10,0,['Star-Film']
190615,['Edwin S. Porter'],Unkown,Unkown,Unkown,"['Drama', 'History']",Execution of Czolgosz with Panorama of Auburn Prison,1901-11-16,4.1,"This early docudrama shows Auburn Prison and recreates the electrocution of Leon Czolgosz, the assassin of President McKinley of the United States.",/ttKBXCXaZaWRWVe6ZH3ecPALW4A.jpg,0,4,0,['Edison Studios']
171430,['Ferdinand Zecca'],Jean Liézer,Bretteau,Ferdinand Zecca,"['Drama', 'Crime']",History of a Crime,1901-04-30,5.8,A convicted criminal dreams about his past the night before his execution.,/9ga5LMkPfTM8MpITi2FPwEUkfZB.jpg,0,5,0,['Pathé Frères']
179000,['Robert W. Paul'],Unkown,Unkown,Unkown,['Comedy'],The Countryman and the Cinematograph,1901-01-01,5.3,"A satire on the way that audiences unaccustomed to the cinema didn't know how to react to the moving images on a screen - in this film, an unsophisticated (and stereotypical) country yokel is alternately baffled and terrified, in the latter case by the apparent approach of a steam train.",/plb7LmFW3XZipZsk82p34CRRx85.jpg,0,1,0,"['Robert W. Paul', ""Paul's Animatograph Works""]"
107269,['Georges Méliès'],Georges Méliès,Unkown,Unkown,"['Fantasy', 'Comedy']",The Prince of Magicians,1901-01-01,6.0,"A magician does tricks with the aid of his assistant, the Human Pump.",/wmY970rdWRArvgEyOXZf8wntC1z.jpg,0,2,0,['Star Film Company']
179038,['James Williamson'],Unkown,Unkown,Unkown,"['Action', 'Drama']",Fire!,1901-10-15,5.8,"Firefighters ring for help, and here comes the ladder cart; they hitch a horse to it. A second horse-drawn truck joins the first, and they head down the street to a house fire. Inside a man sleeps, he awakes amidst flames and throws himself back on the bed. In comes a firefighter, hosing down the blaze. He carries out the victim, down a ladder to safety. Other firefighters enter the house to save belongings, and out comes one with a baby. The saved man rejoices, but it's not over yet.",/u9VONkr7FFGPQO3FO7vRjKiO3Rv.jpg,0,5,0,['Williamson Kinematograph Company']
231760,[],Buffalo Bill Cody,Unkown,Unkown,['Documentary'],Buffalo Bill's Wild West Parade,1901-04-01,5.0,"The film shows a parade down Fifth Avenue, New York. In the foreground many children, both black and white, can be seen following alongside the parade. The participants in the parade include cowboys, Indians, and soldiers in the uniform of the United States Cavalry on horseback and riding horse-drawn coaches. Buffalo Bill can be seen on horseback, lifting his hat to the crowd. Filmed on 1 April 1901.",/wGeWZ3MJiiD3O3SeRlvC1b0WyDN.jpg,0,2,0,[]
144139,"['Edwin S. Porter', 'George S. Fleming']",A.C. Abadie,Florence Georgie,Unkown,"['Documentary', 'Comedy']","What Happened on Twenty-Third Street, New York City",1901-07-31,5.6,"A street level view from the sidewalk, looking along the length of 23rd Street. Following actuality footage of pedestrians and street traffic, the actors, a man in summer attire and a woman in an ankle-length dress, walk toward the camera.",/zM0WeTWKS01Vvr0QYliFSS0Rc1v.jpg,0,1,0,['Edison Studios']
162853,"['Edwin S. Porter', 'James Blair Smith']",Unkown,Unkown,Unkown,[],Pan-American Exposition by Night,1901-10-18,5.7,"A great feature of the Pan-American Exposition, as unanimously conceded by all visitors, was the electric illumination of the Exposition grounds at night. After a great deal of experimenting and patience, we succeeded in securing an excellent picture of the buildings at the Pan-American as they appeared when lighted up at night.",/qaMBoZ7csXh9YS6A1tAKH10IyOq.jpg,0,1,0,[]
107273,['Georges Méliès'],Georges Méliès,Unkown,Unkown,"['Fantasy', 'Comedy']",The Dwarf and the Giant,1901-01-01,5.5,A magician explores two halves of his self: The Dwarf and the Giant.,,0,1,0,"['Star-Film', 'Georges Méliès']"
